Name,Type,GenderMix,Area,Zone,PostalCode,Latitude,Longitude,PlacestakenuptillPhase2B
St. Hilda's Primary School,Government-aided,Mixed,Tampines,East,529706,1.3493,103.9356,237
St. Joseph's Institution Junior,Government-aided,Boys,Novena,South,309331,1.3173,103.8452,183
St. Margaret's Primary School,Government-aided,Girls,Rochor,South,228091,1.3044,103.8462,113
St. Stephen's School,Government-aided,Boys,Bedok,East,455789,1.319,103.9168,87
Tampines North Primary School,Government,Mixed,Tampines,East,529565,1.36,103.9488,63
Tampines Primary School,Government,Mixed,Tampines,East,529426,1.3494,103.9452,100
Tanjong Katong Primary School,Government,Mixed,Marine Parade,East,437259,1.3056,103.8998,97
Tao Nan School,"Government-aided, SAP",Mixed,Marine Parade,East,449761,1.3053,103.9119,303
Teck Ghee Primary School,Government,Mixed,Ang Mo Kio,South,569299,1.3659,103.8505,122
Teck Whye Primary School,Government,Mixed,Chua Chu Kang,West,688261,1.3834,103.7546,48
Telok Kurau Primary School,Government,Mixed,Bedok,East,479239,1.3317,103.911,86
Temasek Primary School,Government,Mixed,Bedok,East,469300,1.3176,103.9451,191
Townsville Primary School,Government,Mixed,Ang Mo Kio,South,569730,1.3612,103.8538,53
Unity Primary School,Government,Mixed,Chua Chu Kang,West,688268,1.4028,103.7474,104
Waterway Primary School,Government,Mixed,Punggol,East,828802,1.3990541,103.9184708,25
Wellington Primary School,Government,Mixed,Sembawang,North,757702,1.4521,103.8219,105
West Grove Primary School,Government,Mixed,Jurong West,West,649223,1.3451,103.6996,129
West Spring Primary School,Government,Mixed,Bukit Panjang,West,679946,1.3888,103.7666,108
Westwood Primary School,Government,Mixed,Jurong West,West,649188,1.3481,103.7006,117
West View Primary School,Government,Mixed,Bukit Panjang,West,677742,1.384,103.7606,52
White Sands Primary School,Government,Mixed,Pasir Ris,East,519075,1.3645,103.9615,125
Woodgrove Primary School,Government,Mixed,Woodlands,North,738079,1.4325,103.7904,108
Woodlands Primary School,Government,Mixed,Woodlands,North,738853,1.4363,103.7916,112
Woodlands Ring Primary School,Government,Mixed,Woodlands,North,738240,1.4351,103.798,98
Xinghua Primary School,Government,Mixed,Hougang,South,538882,1.3581,103.8896,50
Xingnan Primary School,Government,Mixed,Jurong West,West,649036,1.3422,103.6877,117
Xinmin Primary School,Government,Mixed,Hougang,North,538784,1.3708,103.8828,120
Xishan Primary School,Government,Mixed,Yishun,North,768611,1.4335,103.8367,63
Yangzheng Primary School,Government,Mixed,Serangoon,South,556108,1.3493,103.8683,103
Yew Tee Primary School,Government,Mixed,Chua Chu Kang,West,689100,1.3968,103.7502,105
Yio Chu Kang Primary School,Government,Mixed,Hougang,North,538720,1.3772,103.8856,39
Yishun Primary School,Government,Mixed,Yishun,North,768679,1.4344,103.8338,79
Yu Neng Primary School,Government,Mixed,Bedok,East,469623,1.3337,103.9316,130
Yuhua Primary School,Government,Mixed,Jurong East,West,609558,1.3434,103.7409,62
Yumin Primary School,Government,Mixed,Tampines,East,529393,1.3515,103.9515,77
Zhangde Primary School,Government,Mixed,Bukit Merah,South,169485,1.2847,103.8261,112
Zhenghua Primary School,Government,Mixed,Bukit Panjang,West,679002,1.3808,103.7689,99
Zhonghua Primary School,Government,Mixed,Serangoon,South,556095,1.3589,103.8711,51
