id,index,name,desc
671,2883,ru,flag
671,2884,ru,country
671,2885,ru,banner
672,2886,gb,great britain
672,2887,gb,united kingdom
672,2888,gb,banner
672,2889,gb,nation
672,2890,gb,flag
672,2891,gb,british
672,2892,gb,UK
672,2893,gb,country
672,2894,gb,english
672,2895,gb,england
672,2896,gb,union jack
673,2897,uk,great britain
673,2898,uk,united kingdom
674,2899,de,germany
674,2900,de,deutschland
674,2901,de,german
674,2902,de,nation
674,2903,de,flag
674,2904,de,country
674,2905,de,banner
675,2906,one,1
675,2907,one,blue-square
675,2908,one,numbers
676,2909,two,2
676,2910,two,numbers
676,2911,two,prime
676,2912,two,blue-square
677,2913,three,3
677,2914,three,numbers
677,2915,three,prime
677,2916,three,blue-square
678,2917,four,4
678,2918,four,numbers
678,2919,four,blue-square
679,2920,five,5
679,2921,five,numbers
679,2922,five,blue-square
679,2923,five,prime
680,2924,six,6
680,2925,six,numbers
680,2926,six,blue-square
681,2927,seven,7
681,2928,seven,numbers
681,2929,seven,blue-square
681,2930,seven,prime
682,2931,eight,8
682,2932,eight,blue-square
682,2933,eight,numbers
683,2934,nine,9
683,2935,nine,blue-square
683,2936,nine,numbers
684,2937,keycap_ten,10
684,2938,keycap_ten,numbers
684,2939,keycap_ten,blue-square
685,2940,1234,numbers
685,2941,1234,blue-square
686,2942,zero,0
686,2943,zero,numbers
686,2944,zero,blue-square
686,2945,zero,null
687,2946,hash,symbol
687,2947,hash,blue-square
687,2948,hash,twitter
688,2949,symbols,blue-square
688,2950,symbols,music
688,2951,symbols,note
688,2952,symbols,ampersand
688,2953,symbols,percent
688,2954,symbols,glyphs
688,2955,symbols,characters
689,2956,arrow_backward,left
689,2957,arrow_backward,blue-square
689,2958,arrow_backward,direction
690,2959,arrow_down,blue-square
690,2960,arrow_down,direction
690,2961,arrow_down,bottom
691,2962,arrow_forward,right
691,2963,arrow_forward,blue-square
691,2964,arrow_forward,direction
692,2965,arrow_left,blue-square
692,2966,arrow_left,previous
692,2967,arrow_left,back
693,2968,capital_abcd,alphabet
693,2969,capital_abcd,words
693,2970,capital_abcd,blue-square
694,2971,abcd,blue-square
694,2972,abcd,alphabet
695,2973,abc,blue-square
695,2974,abc,alphabet
696,2975,arrow_lower_left,blue-square
696,2976,arrow_lower_left,direction
697,2977,arrow_lower_right,blue-square
697,2978,arrow_lower_right,direction
698,2979,arrow_right,blue-square
698,2980,arrow_right,next
699,2981,arrow_up,blue-square
699,2982,arrow_up,continue
699,2983,arrow_up,top
699,2984,arrow_up,direction
700,2985,arrow_upper_left,blue-square
700,2986,arrow_upper_left,point
700,2987,arrow_upper_left,direction
701,2988,arrow_upper_right,blue-square
701,2989,arrow_upper_right,point
701,2990,arrow_upper_right,direction
702,2991,arrow_double_down,blue-square
702,2992,arrow_double_down,direction
702,2993,arrow_double_down,bottom
703,2994,arrow_double_up,blue-square
703,2995,arrow_double_up,direction
703,2996,arrow_double_up,top
704,2997,arrow_down_small,blue-square
704,2998,arrow_down_small,direction
704,2999,arrow_down_small,bottom
705,3000,arrow_heading_down,blue-square
705,3001,arrow_heading_down,direction
705,3002,arrow_heading_down,bottom
706,3003,arrow_heading_up,blue-square
706,3004,arrow_heading_up,direction
706,3005,arrow_heading_up,top
707,3006,leftwards_arrow_with_hook,back
707,3007,leftwards_arrow_with_hook,return
707,3008,leftwards_arrow_with_hook,blue-square
707,3009,leftwards_arrow_with_hook,undo
708,3010,arrow_right_hook,blue-square
708,3011,arrow_right_hook,return
708,3012,arrow_right_hook,rotade
708,3013,arrow_right_hook,direction
709,3014,left_right_arrow,shape
709,3015,left_right_arrow,direction
710,3016,arrow_up_down,blue-square
710,3017,arrow_up_down,direction
710,3018,arrow_up_down,way
711,3019,arrow_up_small,blue-square
711,3020,arrow_up_small,triangle
711,3021,arrow_up_small,direction
711,3022,arrow_up_small,point
711,3023,arrow_up_small,forward
711,3024,arrow_up_small,top
712,3025,arrows_clockwise,sync
712,3026,arrows_clockwise,cycle
712,3027,arrows_clockwise,round
712,3028,arrows_clockwise,repeat
713,3029,arrows_counterclockwise,blue-square
713,3030,arrows_counterclockwise,sync
713,3031,arrows_counterclockwise,cycle
714,3032,rewind,play
714,3033,rewind,blue-square
715,3034,fast_forward,blue-square
715,3035,fast_forward,play
715,3036,fast_forward,speed
715,3037,fast_forward,continue
716,3038,information_source,blue-square
716,3039,information_source,alphabet
716,3040,information_source,letter
717,3041,ok,good
717,3042,ok,agree
717,3043,ok,yes
717,3044,ok,blue-square
718,3045,twisted_rightwards_arrows,blue-square
718,3046,twisted_rightwards_arrows,shuffle
718,3047,twisted_rightwards_arrows,music
718,3048,twisted_rightwards_arrows,random
719,3049,repeat,loop
719,3050,repeat,record
720,3051,repeat_one,blue-square
720,3052,repeat_one,loop
721,3053,new,blue-square
721,3054,new,words
721,3055,new,start
722,3056,top,words
722,3057,top,blue-square
723,3058,up,blue-square
723,3059,up,above
723,3060,up,high
724,3061,cool,words
724,3062,cool,blue-square
725,3063,free,blue-square
725,3064,free,words
726,3065,ng,blue-square
726,3066,ng,words
726,3067,ng,shape
726,3068,ng,icon
727,3069,cinema,movie
727,3070,cinema,blue-square
727,3071,cinema,record
727,3072,cinema,film
728,3073,koko,blue-square
728,3074,koko,here
728,3075,koko,katakana
728,3076,koko,japanese
728,3077,koko,destination
729,3078,signal_strength,blue-square
729,3079,signal_strength,reception
729,3080,signal_strength,phone
729,3081,signal_strength,internet
729,3082,signal_strength,connection
729,3083,signal_strength,wifi
729,3084,signal_strength,bluetooth
730,3085,u5272,wari
730,3086,u5272,cut
730,3087,u5272,divide
730,3088,u5272,chinese
730,3089,u5272,kanji
730,3090,u5272,pink-square
731,3091,u5408,japanese
731,3092,u5408,chinese
731,3093,u5408,join
731,3094,u5408,kanji
731,3095,u5408,red-square
732,3096,u55b6,ying
732,3097,u55b6,japanese
732,3098,u55b6,opening hours
732,3099,u55b6,orange-square
733,3100,u6307,zhǐ
733,3101,u6307,zhi
733,3102,u6307,chinese
733,3103,u6307,point
733,3104,u6307,green-square
733,3105,u6307,kanji
734,3106,u6708,yuè
734,3107,u6708,yue
734,3108,u6708,chinese
734,3109,u6708,month
734,3110,u6708,moon
734,3111,u6708,japanese
734,3112,u6708,orange-square
734,3113,u6708,kanji
735,3114,u6709,yǒu
735,3115,u6709,you
735,3116,u6709,orange-square
735,3117,u6709,chinese
735,3118,u6709,have
735,3119,u6709,kanji
736,3120,u6e80,mitsuru
736,3121,u6e80,full
736,3122,u6e80,chinese
736,3123,u6e80,japanese
736,3124,u6e80,red-square
736,3125,u6e80,kanji
737,3126,u7121,wú
737,3127,u7121,wu
737,3128,u7121,nothing
737,3129,u7121,chinese
737,3130,u7121,kanji
737,3131,u7121,japanese
737,3132,u7121,orange-square
738,3133,u7533,shēn
738,3134,u7533,shen
738,3135,u7533,chinese
738,3136,u7533,japanese
738,3137,u7533,kanji
738,3138,u7533,orange-square
739,3139,u7a7a,kōng
739,3140,u7a7a,kong
739,3141,u7a7a,kanji
739,3142,u7a7a,japanese
739,3143,u7a7a,chinese
739,3144,u7a7a,empty
739,3145,u7a7a,sky
739,3146,u7a7a,blue-square
740,3147,u7981,jìn
740,3148,u7981,jin
740,3149,u7981,kanji
740,3150,u7981,japanese
740,3151,u7981,chinese
740,3152,u7981,forbidden
740,3153,u7981,limit
740,3154,u7981,restricted
740,3155,u7981,red-square
741,3156,sa,japanese
741,3157,sa,blue-square
741,3158,sa,katakana
742,3159,restroom,blue-square
742,3160,restroom,toilet
742,3161,restroom,refresh
742,3162,restroom,wc
742,3163,restroom,gender
743,3164,mens,toilet
743,3165,mens,restroom
743,3166,mens,wc
743,3167,mens,blue-square
743,3168,mens,gender
743,3169,mens,male
744,3170,womens,purple-square
744,3171,womens,woman
744,3172,womens,female
744,3173,womens,toilet
744,3174,womens,loo
744,3175,womens,restroom
744,3176,womens,gender
745,3177,baby_symbol,orange-square
745,3178,baby_symbol,child
746,3179,no_smoking,cigarette
746,3180,no_smoking,blue-square
746,3181,no_smoking,smell
746,3182,no_smoking,smoke
747,3183,parking,cars
747,3184,parking,blue-square
747,3185,parking,alphabet
747,3186,parking,letter
748,3187,wheelchair,blue-square
748,3188,wheelchair,disabled
748,3189,wheelchair,a11y
748,3190,wheelchair,accessibility
749,3191,metro,transportation
749,3192,metro,blue-square
749,3193,metro,mrt
749,3194,metro,underground
749,3195,metro,tube
750,3196,baggage_claim,blue-square
750,3197,baggage_claim,airport
750,3198,baggage_claim,transport
751,3199,accept,ok
751,3200,accept,good
751,3201,accept,chinese
751,3202,accept,kanji
751,3203,accept,agree
751,3204,accept,yes
751,3205,accept,orange-circle
752,3206,wc,toilet
752,3207,wc,restroom
752,3208,wc,blue-square
753,3209,potable_water,blue-square
753,3210,potable_water,liquid
753,3211,potable_water,restroom
753,3212,potable_water,cleaning
753,3213,potable_water,faucet
754,3214,put_litter_in_its_place,blue-square
754,3215,put_litter_in_its_place,sign
754,3216,put_litter_in_its_place,human
754,3217,put_litter_in_its_place,info
755,3218,secret,privacy
755,3219,secret,chinese
755,3220,secret,sshh
755,3221,secret,kanji
755,3222,secret,red-circle
756,3223,congratulations,chinese
756,3224,congratulations,kanji
756,3225,congratulations,japanese
756,3226,congratulations,red-circle
757,3227,m,alphabet
757,3228,m,blue-circle
757,3229,m,letter
758,3230,passport_control,custom
758,3231,passport_control,blue-square
759,3232,left_luggage,blue-square
759,3233,left_luggage,travel
760,3234,customs,passport
760,3235,customs,border
760,3236,customs,blue-square
761,3237,ideograph_advantage,chinese
761,3238,ideograph_advantage,kanji
761,3239,ideograph_advantage,obtain
761,3240,ideograph_advantage,get
761,3241,ideograph_advantage,circle
762,3242,cl,alphabet
762,3243,cl,words
762,3244,cl,red-square
763,3245,sos,help
763,3246,sos,red-square
763,3247,sos,words
763,3248,sos,emergency
763,3249,sos,911
764,3250,id,purple-square
764,3251,id,words
765,3252,no_entry_sign,forbid
765,3253,no_entry_sign,stop
765,3254,no_entry_sign,limit
765,3255,no_entry_sign,denied
765,3256,no_entry_sign,disallow
765,3257,no_entry_sign,circle
766,3258,underage,18
766,3259,underage,drink
766,3260,underage,pub
766,3261,underage,night
766,3262,underage,minor
766,3263,underage,circle
767,3264,no_mobile_phones,iphone
767,3265,no_mobile_phones,mute
767,3266,no_mobile_phones,circle
768,3267,do_not_litter,trash
768,3268,do_not_litter,bin
768,3269,do_not_litter,garbage
768,3270,do_not_litter,circle
769,3271,non-potable_water,drink
769,3272,non-potable_water,faucet
769,3273,non-potable_water,tap
769,3274,non-potable_water,circle
770,3275,no_bicycles,cyclist
770,3276,no_bicycles,prohibited
770,3277,no_bicycles,circle
771,3278,no_pedestrians,rules
771,3279,no_pedestrians,crossing
771,3280,no_pedestrians,walking
771,3281,no_pedestrians,circle
772,3282,children_crossing,school
772,3283,children_crossing,warning
772,3284,children_crossing,danger
772,3285,children_crossing,sign
772,3286,children_crossing,driving
772,3287,children_crossing,yellow-diamond
773,3288,no_entry,limit
773,3289,no_entry,security
773,3290,no_entry,privacy
773,3291,no_entry,bad
773,3292,no_entry,denied
