Date,Daily_Confirmed,False_Positives_Found,Cumulative_Confirmed,Daily_Discharged,Passed_but_not_due_to_COVID,Cumulative_Discharged,Discharged_to_Isolation,Still_Hospitalised,Daily_Deaths,Cumulative_Deaths,Tested_positive_demise,Daily_Imported,Daily_Local_transmission,Local_cases_residing_in_dorms_MOH_report,Local_cases_not_residing_in_doms_MOH_report,Intensive_Care_Unit_(ICU),General_Wards_MOH_report,In_Isolation_MOH_report,Total_Completed_Isolation_MOH_report,Total_Hospital_Discharged_MOH_report,Requires_Oxygen_Supplementation,Linked_community_cases,Unlinked_community_cases,Phase,Cumulative_Vaccine_Doses,Cumulative_Individuals_Vaccinated
2020-01-23,1,,1,0,0,0,0,1,0,0,0,1,0,,,0,,,,,,,,,,
2020-01-24,2,,3,0,0,0,0,3,0,0,0,2,0,,,0,,,,,,,,,,
2020-01-25,1,,4,0,0,0,0,4,0,0,0,1,0,,,0,,,,,,,,,,
2020-01-26,0,,4,0,0,0,0,4,0,0,0,0,0,,,0,,,,,,,,,,
2020-01-27,1,,5,0,0,0,0,5,0,0,0,1,0,,,0,,,,,,,,,,
2020-01-28,2,,7,0,0,0,0,7,0,0,0,2,0,,,0,,,,,,,,,,
2020-01-29,3,,10,0,0,0,0,10,0,0,0,3,0,,,0,,,,,,,,,,
2020-01-30,3,,13,0,0,0,0,13,0,0,0,3,0,,,0,,,,,,,,,,
2020-01-31,3,,16,0,0,0,0,16,0,0,0,3,0,,,0,,,,,,,,,,
2020-02-01,2,,18,0,0,0,0,18,0,0,0,2,0,,,0,,,,,,,,,,
2020-02-02,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,,,,,,
2020-02-03,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,,,,,,
2020-02-04,6,,24,1,0,1,0,23,0,0,0,2,4,,,0,,,,,,,,,,
2020-02-05,4,,28,0,0,1,0,27,0,0,0,1,3,,,0,,,,,,,,,,
2020-02-06,2,,30,0,0,1,0,29,0,0,0,0,2,,,1,,,,,,,,,,
2020-02-07,3,,33,1,0,2,0,31,0,0,0,0,3,,,2,,,,,,,,,,
2020-02-08,7,,40,0,0,2,0,38,0,0,0,0,7,,,4,,,,,,,,,,
2020-02-09,3,,43,4,0,6,0,37,0,0,0,0,3,,,6,,,,,,,,,,
2020-02-10,2,,45,1,0,7,0,38,0,0,0,1,1,,,7,,,,,,,,,,
2020-02-11,2,,47,2,0,9,0,38,0,0,0,0,2,,,7,,,,,,,,,,
2020-02-12,3,,50,6,0,15,0,35,0,0,0,0,3,,,8,,,,,,,,,,
2020-02-13,8,,58,0,0,15,0,43,0,0,0,0,8,,,7,,,,,,,,,,
2020-02-14,9,,67,2,0,17,0,50,0,0,0,0,9,,,6,,,,,,,,,,
2020-02-15,5,,72,1,0,18,0,54,0,0,0,0,5,,,6,,,,,,,,,,
2020-02-16,3,,75,1,0,19,0,56,0,0,0,0,3,,,5,,,,,,,,,,
2020-02-17,2,,77,5,0,24,0,53,0,0,0,1,1,,,4,,,,,,,,,,
2020-02-18,4,,81,5,0,29,0,52,0,0,0,0,4,,,4,,,,,,,,,,
2020-02-19,3,,84,5,0,34,0,50,0,0,0,0,3,,,4,,,,,,,,,,
2020-02-20,1,,85,3,0,37,0,48,0,0,0,0,1,,,4,,,,,,,,,,
2020-02-21,1,,86,10,0,47,0,39,0,0,0,0,1,,,5,,,,,,,,,,
2020-02-22,3,,89,2,0,49,0,40,0,0,0,1,2,,,5,,,,,,,,,,
2020-02-23,0,,89,2,0,51,0,38,0,0,0,0,0,,,5,,,,,,,,,,
2020-02-24,1,,90,2,0,53,0,37,0,0,0,0,1,,,7,,,,,,,,,,
2020-02-25,1,,91,5,0,58,0,33,0,0,0,0,1,,,7,,,,,,,,,,
2020-02-26,2,,93,4,0,62,0,31,0,0,0,0,2,,,7,,,,,,,,,,
2020-02-27,3,,96,4,0,66,0,30,0,0,0,0,3,,,8,,,,,,,,,,
2020-02-28,2,,98,3,0,69,0,29,0,0,0,0,2,,,7,,,,,,,,,,
2020-02-29,4,,102,3,0,72,0,30,0,0,0,0,4,,,7,,,,,,,,,,
2020-03-01,4,,106,2,0,74,0,32,0,0,0,0,4,,,7,,,,,,,,,,
2020-03-02,2,,108,4,0,78,0,30,0,0,0,0,2,,,6,,,,,,,,,,
2020-03-03,2,,110,0,0,78,0,32,0,0,0,0,2,,,7,,,,,,,,,,
