new_column_0,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7,new_column_8,new_column_9,new_column_10,new_column_11,new_column_12,new_column_13,new_column_14,new_column_15,new_column_16,new_column_17,new_column_18,new_column_19,new_column_20,new_column_21,new_column_22,new_column_23,new_column_24,new_column_25,new_column_26,new_column_27,new_column_28,new_column_29,new_column_30,new_column_31
  Females: Accountancy,774,659,757,843,864,752,752,664,556,649,688,589,507,554,596,536,575,468,495,387,524,541,484,495,482,487,453,433,395,378,396
  Females: Business & Administration,2147,1900,1649,1472,1437,1291,1242,969,848,846,897,825,944,859,857,960,894,819,799,742,693,751,807,851,905,869,808,848,788,733,708
  Females: Law,209,203,216,204,155,165,188,173,168,176,179,207,208,90,118,115,123,134,125,91,81,77,96,79,77,103,97,106,100,99,93
  Females: Natural & Mathematical Sciences,544,863,884,1133,1212,1285,1337,1195,1145,1103,1257,1074,1217,1091,946,796,827,880,674,781,742,699,754,655,674,678,600,541,572,566,588
  Females: Medicine,210,192,196,178,181,189,156,147,115,127,124,123,119,94,97,96,83,94,86,77,66,60,42,37,41,42,40,53,48,66,61
  Females: Dentistry,38,34,33,35,33,39,33,28,32,30,27,21,26,25,19,17,15,14,12,18,11,11,16,15,14,12,10,13,8,6,11
  Females: Health Sciences,801,668,590,547,430,385,410,368,353,309,296,218,213,196,107,77,67,57,69,78,48,49,46,30,77,69,60,59,46,39,40
  Females: Information Technology,917,608,464,440,408,393,367,381,377,289,251,280,195,154,162,210,190,130,199,309,242,199,133,187,218,296,218,194,193,196,215
"  Females: Architecture, Building & Real Estate",347,365,313,318,369,398,303,274,351,258,258,241,247,178,179,243,208,214,234,185,235,224,199,192,167,153,163,136,156,182,144
  Females: Engineering Sciences,1332,1505,1358,1405,1363,1346,1478,1385,1375,1251,1323,1213,1215,1020,1217,1386,1337,1199,1241,1179,1016,880,803,682,492,413,333,250,276,227,254
  Females: Services,120,95,142,125,91,108,124,95,188,219,345,135,50,35,36,43,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na
